path,label,Availability Mask,Can Blueprint
/Game/Mods/1840936777/Dino/PrimalItemConsumable_MakeFood.PrimalItemConsumable_MakeFood,Prome makefood,511,TRUE
/Game/Mods/1840936777/Dino/PrimalItemConsumable_PromeDinoFood.PrimalItemConsumable_PromeDinoFood,Prome dino Food,511,TRUE
/Game/Mods/1840936777/Dino/Allo/Attribute/PrimalItem_Transform_FlameAllo.PrimalItem_Transform_FlameAllo,Prome Flame Allo transformer,511,TRUE
/Game/Mods/1840936777/Dino/Allo/Attribute/PrimalItem_Transform_PoisonAllo.PrimalItem_Transform_PoisonAllo,Prome poison Allo transformer,511,TRUE
/Game/Mods/1840936777/Dino/Allo/Saddle/PrimalItemArmor_Prome_AlloSaddle.PrimalItemArmor_Prome_AlloSaddle,Prome Allo sadle,511,TRUE
/Game/Mods/1840936777/Dino/Argentavis/Saddle/PrimalItemArmor_Prome_ArgentavisSaddle.PrimalItemArmor_Prome_ArgentavisSaddle,Prome Argent saddle,511,TRUE
/Game/Mods/1840936777/Dino/Argonians/Saddle/PrimalItemArmor_Prome_ArgoniansSaddle.PrimalItemArmor_Prome_ArgoniansSaddle,Prome argonians Saddle,511,TRUE
/Game/Mods/1840936777/Dino/Balrogs/Contract/PrimalItemConsumable_Prome_Balrogs_Contract.PrimalItemConsumable_Prome_Balrogs_Contract,Prome Balrog contract,511,TRUE
/Game/Mods/1840936777/Dino/Bigfoot/Saddle/PrimalItemArmor_Prome_BigfootSaddle.PrimalItemArmor_Prome_BigfootSaddle,Prome Bigfoot saddle,511,TRUE
/Game/Mods/1840936777/Dino/Bigfoot/Shogun/Cube/PrimalItemConsumable_Prome_Shogun_Cube.PrimalItemConsumable_Prome_Shogun_Cube,Prome Shogun cube,511,TRUE
/Game/Mods/1840936777/Dino/Bone/Bronto/Egg/PrimalItemConsumable_Egg_BoneBronto.PrimalItemConsumable_Egg_BoneBronto,Prome BoneBronto egg,511,TRUE
/Game/Mods/1840936777/Dino/Bone/Bronto/Egg/PrimalItemConsumable_Egg_BoneBronto_Fertilized.PrimalItemConsumable_Egg_BoneBronto_Fertilized,Prome fert BoneBronto egg,511,TRUE
