path,label,Availability Mask,Can Blueprint
/Game/Mods/ARKParados/Dinos/Frozen/Allo/Saddle/PrimalItemArmor_Frozen_AlloSaddle.PrimalItemArmor_Frozen_AlloSaddle,Frozen Allosaurus saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Archa/Saddle/PrimalItemArmor_FrozenArchaSaddle.PrimalItemArmor_FrozenArchaSaddle,Frozen Archa saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Bronto/Saddle/PrimalItemArmor_FrozenSauroSaddle.PrimalItemArmor_FrozenSauroSaddle,Frozen Brontosaurus saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Bronto/Plattform/PrimalItemArmor_SauroSaddle_Platform_Frozen.PrimalItemArmor_SauroSaddle_Platform_Frozen,Frozen Bronto Plattform saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Bee/Saddle/PrimalItemArmor_FrozenBeeSaddle.PrimalItemArmor_FrozenBeeSaddle,Frozen Bee saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Pug/Saddle/PrimalItemArmor_FrozenPugSaddle.PrimalItemArmor_FrozenPugSaddle,Frozen Bulbdog saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Direwolf/Saddle/PrimalItemArmor_FrozenDirewolf_Saddle.PrimalItemArmor_FrozenDirewolf_Saddle,Frozen Direwolf saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Griffin/Saddle/PrimalItemArmor_Frozen_Griffin.PrimalItemArmor_Frozen_Griffin,Frozen Griffin saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Mantis/Saddle/PrimalItemArmor_FrozenMantisSaddle.PrimalItemArmor_FrozenMantisSaddle,Frozen Mantis saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/managarmr/Saddle/PrimalItemArmor_FrozenIceJumperSaddle.PrimalItemArmor_FrozenIceJumperSaddle,Frozen Managarmr saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Owl/Saddle/PrimalItemArmor_FrozenOwlSaddle.PrimalItemArmor_FrozenOwlSaddle,Frozen Owl saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Pegasus/Saddle/PrimalItemArmor_Frozen_PegasusSaddle.PrimalItemArmor_Frozen_PegasusSaddle,Frozen Pegasus saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Saber/Saddle/PrimalItemArmor_FrozenSaberSaddle.PrimalItemArmor_FrozenSaberSaddle,Frozen Sabertooth saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Shinehorn/Saddle/PrimalItemArmor_FrozenShinehornSaddle.PrimalItemArmor_FrozenShinehornSaddle,Frozen Shinehorn saddle,31,TRUE
/Game/Mods/ARKParados/Dinos/Frozen/Sarco/Saddle/PrimalItemArmor_FrozenSarcoSaddle.PrimalItemArmor_FrozenSarcoSaddle,Frozen Sarco saddle,31,TRUE
